MindBrige_vae starting with epoch 0 / 500
>>> Epoch0 | Iter0 | voxel: torch.Size([124, 8192])
  0%|                                                                                                                                   | 0/500 [00:00<?, ?it/s]
>>> Epoch0 | Iter1 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter2 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter3 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter4 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter5 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter6 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter7 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter8 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter9 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter10 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter11 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter12 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter13 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter14 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter15 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter16 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter17 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter18 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter19 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter20 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter21 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter22 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter23 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter24 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter25 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter26 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter27 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter28 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter29 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter30 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter31 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter32 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter33 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter34 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter35 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter36 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter37 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter38 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter39 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter40 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter41 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter42 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter43 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter44 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter45 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter46 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter47 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter48 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter49 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter50 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter51 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter52 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter53 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter54 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter55 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter56 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter57 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter58 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter59 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter60 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter61 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter62 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter63 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter64 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter65 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter66 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter67 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter68 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter69 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter70 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter71 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter72 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter73 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter74 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter75 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter76 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter77 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter78 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter79 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter80 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter81 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter82 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter83 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter84 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter85 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter86 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter87 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter88 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter89 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter90 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter91 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter92 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter93 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter94 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter95 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter96 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter97 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter98 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter99 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter100 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter101 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter102 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter103 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter104 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter105 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter106 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter107 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter108 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter109 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter110 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter111 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter112 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter113 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter114 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter115 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter116 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter117 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter118 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter119 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter120 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter121 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter122 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter123 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter124 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter125 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter126 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter127 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter128 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter129 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter130 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter131 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter132 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter133 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter134 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter135 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter136 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter137 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter138 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter139 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter140 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter141 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter142 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter143 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter144 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter145 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter146 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter147 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter148 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter149 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter150 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter151 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter152 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter153 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter154 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter155 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter156 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter157 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter158 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter159 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter160 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter161 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter162 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter163 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter164 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter165 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter166 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter167 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter168 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter169 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter170 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter171 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter172 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter173 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter174 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter175 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter176 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter177 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter178 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter179 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter180 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter181 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter182 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter183 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter184 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter185 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter186 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter187 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter188 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter189 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter190 | voxel: torch.Size([124, 8192])
>>> Epoch0 | Iter191 | voxel: torch.Size([124, 8192])
